time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1969-12-31T19:01:56.250Z,28.532,129.075,25,6.3,mw,,,,,iscgem,iscgem801741,2022-04-26T21:52:06.086Z,"43 km WNW of Naze, Japan",earthquake,,26.6,0.2,,reviewed,iscgem,iscgem
1969-12-28T04:53:11.160Z,43.373,147.809,28.8,5.74,mw,,,,,iscgem,iscgem801591,2022-04-26T21:52:02.439Z,"99 km ESE of Shikotan, Russia",earthquake,,3.9,0.23,,reviewed,iscgem,iscgem
1969-12-21T10:18:02.800Z,28.188,130.655,20,5.61,mw,,,,,iscgem,iscgem801290,2022-04-26T21:51:31.193Z,"116 km E of Naze, Japan",earthquake,,5.8,0.27,,reviewed,iscgem,iscgem
1969-12-04T08:50:24.750Z,40.726,144.715,29.1,5.54,mw,,,,,iscgem,iscgem800688,2022-04-26T21:51:02.515Z,"251 km S of Kushiro, Japan",earthquake,,3.9,0.3,,reviewed,iscgem,iscgem
1969-11-12T12:29:43.460Z,42.463,145.131,25,5.53,mw,,,,,iscgem,iscgem802206,2022-04-26T21:52:25.174Z,"84 km SE of Kushiro, Japan",earthquake,,4.6,0.51,,reviewed,iscgem,iscgem
1969-10-18T01:14:01.730Z,39.276,141.554,115.9,5.4,mw,,,,,iscgem,iscgem803508,2022-04-26T21:54:47.898Z,"4 km SSE of T?no, Japan",earthquake,,4.9,0.2,,reviewed,iscgem,iscgem
1969-09-29T17:58:39.970Z,43.335,147.772,25.2,5.77,mw,,,,,iscgem,iscgem804999,2022-04-26T21:58:20.240Z,"99 km ESE of Shikotan, Russia",earthquake,,12.3,0.2,,reviewed,iscgem,iscgem
1969-09-17T18:51:11.730Z,31.035,131.207,35,5.76,mw,,,,,iscgem,iscgem804590,2022-04-26T21:57:08.978Z,"38 km NNE of Nishinoomote, Japan",earthquake,,13.6,0.35,,reviewed,iscgem,iscgem
1969-09-17T18:40:52.160Z,31.041,131.458,35,6,mw,,,,,iscgem,iscgem804588,2022-04-26T21:57:07.858Z,"53 km SSE of Kushima, Japan",earthquake,,4.7,0.2,,reviewed,iscgem,iscgem
1969-09-14T12:49:10.890Z,43.278,147.748,31.9,5.56,mw,,,,,iscgem,iscgem804487,2022-04-26T21:56:44.258Z,"101 km SE of Shikotan, Russia",earthquake,,4.5,0.6,,reviewed,iscgem,iscgem
1969-09-13T11:52:13.780Z,43.144,147.648,34.1,5.71,mw,,,,,iscgem,iscgem804452,2022-04-26T21:56:37.962Z,"104 km SE of Shikotan, Russia",earthquake,,4.6,0.3,,reviewed,iscgem,iscgem
1969-09-09T05:15:38.990Z,35.794,137.063,10,6.3,mw,,,,,iscgem,iscgem804274,2022-04-26T21:56:06.687Z,"11 km NE of Guj?, Japan",earthquake,,3.5,0.3,,reviewed,iscgem,iscgem
1969-09-03T16:20:26.180Z,31.343,140.33,30,5.88,mw,,,,,iscgem,iscgem804081,2022-04-26T21:55:38.245Z,"Izu Islands, Japan region",earthquake,,36.6,0.2,,reviewed,iscgem,iscgem
1969-09-01T09:49:53.970Z,43.188,147.574,33.8,5.5,mw,,,,,iscgem,iscgem803993,2022-04-26T21:55:33.586Z,"96 km SE of Shikotan, Russia",earthquake,,5.1,0.49,,reviewed,iscgem,iscgem
